0.18,2,2097152,100
0.17,3,2097152,100
0.17,4,2097152,100
0.17,6,2097152,100
0.17,9,2097152,100
0.17,13,2097152,100
0.17,19,2097152,100
0.17,28,2097152,100
0.27,42,2097152,100
0.17,63,2097152,100
0.26,94,2097152,100
0.27,141,2097152,100
0.36,211,2097152,100
0.36,316,2097152,100
0.55,474,2097152,100
0.94,711,2097152,100
0.90,1066,2097152,100
1.60,1599,2097152,100
2.04,2398,2097152,100
3.30,3597,2097152,100
3.54,5395,2097152,100
62.33,8092,2097152,100
4.70,12138,2097152,100
50.76,18207,2097152,100
2.32,27310,2097152,100
60.97,40965,2097152,100
44.09,61447,2097152,100
58.40,92170,2097152,100
94.64,138255,2097152,100
195.69,207382,2097152,100
235.56,311073,2097152,100
410.85,466609,2097152,100
539.53,699913,2097152,100
753.01,1049869,2097152,100
1101.55,1574803,2097152,100
1933.25,2362204,2097152,100
1723.71,3543306,2097152,100
2626.87,5314959,2097152,100
2813.60,7972438,2097152,100
2786.53,11958657,2097152,100
